Roman Hettinger, Dragonair, sheep
Danyelle Hodkiewicz, Weepinbell, whale
Royal Rolfson, Magmar, goose
Blake Kreiger, Ivysaur, kangaroo
Clement O'Keefe, Seel, fox
Lionel Stehr, Mew, mammoth
Mabel Weissnat DVM, Mr. Mime, mule
Teresita Murphy, Flareon, mosquito
Lamont Collier, Geodude, donkey
Lawerence Schuppe, Machop, lizard
Herb Gleichner, Weepinbell, eagle
Jadwiga Rau, Venusaur, beetle
Victor Effertz, Koffing, ferret
Mrs. Rocco Cummings, Sandshrew, clam
Dr. Raphael Macejkovic, Victreebel, ape
Jamie O'Hara, Psyduck, camel
Domenic Lemke, Magikarp, muskrat
Hong Fadel, Charmeleon, water buffalo
Maranda Welch, Grimer, guinea pig
Rozella Grimes, Arbok, mallard
Everette Mayert, Wigglytuff, hedgehog
Tamala Champlin, Sandshrew, toad
Alexandra Dietrich, Grimer, louse
Miss Efren Schmidt, Hitmonlee, platypus
Vincenzo Donnelly, Ninetales, dog
Miss Melanie Casper, Koffing, grasshopper
Margarito Bahringer, Ninetales, termite
Jacob Collins, Slowbro, koala
Mark Koepp DDS, Charmander, skunk
Chase Huel, Gengar, cicada
Johnathon Moen, Dewgong, bee
Ryan Conroy, Venusaur, louse
Mrs. Lucio Walsh, Nidorino, rat
Rory Nolan, Venonat, frog
Ms. Laurence Moore, Electabuzz, serval
Lizette Cruickshank, Muk, donkey
Kendrick Durgan, Nidoran, mosquito
Tajuana Mante, Oddish, rabbit
Ms. Norris Feil, Chansey, crab
Michelle Berge, Gloom, sheep
Todd Connelly, Poliwhirl, elk
Rashad Little, Onix, skunk
Mr. Althea Legros, Weedle, toad
Carmen Weber, Wigglytuff, koala
Jessi Schaefer Sr., Onix, hare
Lavonna Turcotte, Mr. Mime, locust
Giselle Daugherty, Graveler, raccoon
Synthia Quigley, Arcanine, bear
Iona Christiansen, Slowbro, hound
Devona Smitham, Ninetales, mole
