Claud Bruen, Clefable, manatee
Hai Gottlieb, Shellder, seal
Jeffry Dooley, Electabuzz, oyster
Dr. Geneva Jakubowski, Pidgeot, butterfly
Jordon Rice, Alakazam, antelope
Selina Hackett, Rattata, panda
Grady Green, Charizard, mule
Eleanor Rogahn, Seaking, gnat
Billi Deckow, Pidgeot, squirrel
Ezekiel Daniel, Spearow, ox
Carol Von, Nidoran, jackal
Shane Aufderhar, Flareon, lizard
Richard Howe PhD, Alakazam, badger
Dr. Fidelia Jenkins, Aerodactyl, ape
Ivelisse Trantow, Victreebel, ferret
Arnold Wunsch, Ivysaur, spider
Miss Jerrold Grady, Farfetch'd, water buffalo
Daron Zemlak, Dragonite, tortoise
Emerson Wilderman, Victreebel, koala
Timothy Watsica, Venomoth, minnow
Audrey Langworth, Shellder, toad
Willy Herman, Bulbasaur, woodchuck
Jamel Schmeler, Magneton, buffalo
Andreas Blanda, Persian, guinea pig
Whitley Casper, Venonat, zebra
Dr. Jennefer O'Hara, Charmander, lion
Ms. Kevin Goodwin, Seaking, buffalo
Tommye Herzog, Kingler, armadillo
Yuki West, Ekans, weasel
Sonia Berge Sr., Muk, wallaby
Latia Grant I, Gastly, ant
Mrs. Archie Heidenreich, Scyther, cockroach
Latrice Hirthe, Blastoise, pig
Ms. Stanford Wehner, Omanyte, guinea pig
Kathline Baumbach, Koffing, woodchuck
Ira Grimes, Weepinbell, hamster
Jene Jacobson, Magneton, hyena
Miss Charlesetta O'Reilly, Electabuzz, reindeer
Willy Wintheiser, Lapras, squirrel
Zack McCullough, Alakazam, tortoise
Dale Abernathy, Kangaskhan, hound
Ayako Walter, Butterfree, turtle 
Mikaela Gislason, Kingler, butterfly
Mrs. Marcelo Sauer, Dugtrio, wolf
Dusty Dach, Mewtwo, goldfish
Collen Graham, Diglett, butterfly
Sadie Wilderman, Clefable, macaw
Dr. Nathaniel Rippin, Vaporeon, cicada
Jewel Simonis, Meowth, ox
Jame Fadel, Aerodactyl, yak
