Alvin Grady I, Dewgong, trout
Jamie Daniel, Dragonair, mule
Hosea Stark, Poliwag, ferret
Verla Hilll, Clefairy, eel
Irwin Schoen, Ditto, lizard
Toby Huels, Victreebel, jellyfish
Mrs. Charlene Block, Clefairy, duck
Mrs. Marth Shields, Raticate, raven
Miss Davina Keeling, Nidoran, walrus
Francesco Beahan, Tentacruel, hyena
Natalie Block, Kangaskhan, reindeer
Mrs. Debbie O'Connell, Tauros, hound
Raymond Skiles, Venusaur, wallaby
Laila Torphy, Growlithe, gnat
Marni Pacocha, Gloom, muskrat
Chelsea Ortiz, Wigglytuff, coyote
Johnie Sporer II, Clefairy, koala
Ms. Luci Von, Vileplume, mole
Janis McLaughlin, Parasect, elephant
Laure Carroll, Squirtle, chimpanzee
Margene Ratke, Graveler, goldfish
Dewitt Gutkowski, Persian, swan
Ms. Fermina Robel, Fearow, hound
Lucia Cruickshank V, Exeggutor, hippopotamus
Alesia Schroeder, Gyarados, sardine
Dorla Haag MD, Omanyte, raccoon
Dudley Russel, Raticate, chinchilla
Margurite Harber IV, Wartortle, weasel
Taylor Abshire, Mew, beaver
Refugio Bergstrom, Haunter, mallard
Carleen Murray PhD, Growlithe, guinea pig
Sandi Schmitt, Sandslash, dinosaur
Brendon Brakus, Exeggutor, hedgehog
Miss Chelsey Becker, Staryu, trout
Dr. German Towne, Clefable, gnat
Mrs. Bridgett Erdman, Exeggcute, bat
Alberto Bergstrom, Blastoise, mosquito
Alana Shields, Golem, beaver
Ashley Ondricka, Kangaskhan, impala
Miss Nikki Goldner, Onix, zebra
Susanne Aufderhar, Magnemite, alpaca
Annabell Walsh, Dragonite, mammoth
Jeff Jenkins, Cloyster, cattle
Ramiro DuBuque, Magikarp, mink
Loreen Mayer MD, Tangela, shark
Doyle Ziemann, Machamp, bear
Georgine Reinger, Seel, cat
Darnell Tillman, Beedrill, fish
Thanh Johnson V, Gyarados, goldfish
Dewey Gislason, Seel, horse
