Miss Shawn Buckridge, Alakazam, toad
Latoria Kertzmann, Squirtle, raven
Johnny Corwin, Rhyhorn, mallard
Lola Robel IV, Graveler, shark
Catherin Kling, Vaporeon, dolphin
Rufus Skiles, Clefairy, water buffalo
Rupert Leuschke, Starmie, sardine
Refugio Luettgen, Zapdos, mule
Elena Waters III, Magikarp, beetle
Lonnie Harvey V, Nidoran, gerbil
Ms. Lore Dicki, Seel, whale
Miss Lana Hudson, Shellder, turtle 
Alona Goldner Jr., Grimer, pig
Dario Bailey, Kakuna, goose
Chong Herman, Victreebel, termite
Peter Smith, Gastly, cicada
Duane Hamill, Vaporeon, deer
Violeta Bernier, Weezing, eel
Hiram Leffler, Electabuzz, louse
Linwood Weissnat, Magnemite, hedgehog
Johnette Casper, Aerodactyl, donkey
Maria Kuhn, Dratini, alpaca
Donya McLaughlin, Pidgey, tiger
Justa Pfannerstill, Machamp, macaw
Joanie Leannon III, Kabuto, platypus
Alva Gleason, Primeape, snake
Will Senger III, Gloom, hedgehog
Wendolyn Hirthe, Kabutops, cricket
Donita Luettgen, Nidorina, camel
Dorathy Zulauf, Psyduck, bat
Mrs. Toshiko Wiza, Weezing, bat
Ms. Phillip Reichert, Electrode, wolf
Delmer Heller, Exeggutor, cricket
Quinn Bartell, Rapidash, alpaca
Antone Ziemann, Poliwag, grasshopper
Carey Howe, Fearow, eagle
Cyril Hoeger, Sandshrew, fox
Marlys Schmeler, Lapras, worm
Mrs. Leon Bauch, Alakazam, alligator
Darrin Marquardt, Machamp, mosquito
Roderick Gutkowski II, Venomoth, beetle
Ira Bashirian I, Tauros, clam
Dona Bogisich, Gastly, eagle
Juliana Dooley, Magneton, chimpanzee
Shelba Littel, Persian, yak
Bethany Mayer, Wigglytuff, cat
Carroll Cremin, Pidgey, koala
Pete McGlynn, Cubone, bat
Fairy Ryan, Abra, louse
Tammi Abbott, Dragonite, cattle
