Mrs. Greg Kohler, Spearow, cicada
Judson Legros, Victreebel, cicada
Stephaine Effertz, Beedrill, gnu
Markus Bergstrom, Vileplume, muskrat
Rossie Baumbach, Wartortle, moose
Ramon Williamson, Slowpoke, serval
Alta Feest V, Omastar, mule
Bronwyn Wisoky MD, Krabby, rhinoceros
Reggie Wiegand, Metapod, platypus
Dick Shanahan, Golem, dog
Alden Crooks, Nidorino, alpaca
Mitchel Waelchi II, Charmeleon, lion
Ernie Yost, Vulpix, alligator
Maybelle Schumm, Oddish, squirrel
Elfreda Thiel, Tentacool, pig
Domonique Littel, Staryu, guinea pig
Jacquelyne Graham, Kadabra, oyster
Gary Nitzsche, Seadra, gerbil
Miss Geneva Roob, Tauros, beaver
Nathanael Cronin, Kabutops, eagle
Albert Mueller I, Jynx, bat
Mrs. Gabriel Morissette, Jynx, baboon
Louanne Jenkins, Moltres, swan
Aldo Kihn, Nidorino, swan
Dr. Scot Sawayn, Omanyte, ox
Myrle D'Amore Jr., Mankey, platypus
Lily Powlowski PhD, Scyther, sea lion
Pedro Kessler, Gyarados, leopard
Ms. Abram Homenick, Vulpix, dog
Miss Willie Wilkinson, Sandshrew, platypus
Karren Aufderhar V, Kadabra, camel
Dora Hessel, Goldeen, fox
Lael Thompson, Farfetch'd, eel
Kandy Dickens, Zapdos, fly
Mr. Dario Torp, Bellsprout, camel
Joe Nitzsche, Hypno, lizard
Shirlene Hand PhD, Bulbasaur, crab
Lucretia Willms, Doduo, dinosaur
Teodora Beatty, Butterfree, monkey
Leeann Labadie, Pidgeotto, crocodile
Ms. Leonel Abbott, Drowzee, gorilla
Joycelyn Muller, Magnemite, cockroach
Young Cartwright, Scyther, hedgehog
Bradford Leffler, Magnemite, alpaca
Nada Tillman, Haunter, mouse
Myung Runolfsdottir, Clefable, sheep
Maurita Hammes, Haunter, elk
Jacquelyn Cassin, Gastly, wombat
Daria Abshire DVM, Raichu, hamster
Myrtice Schulist II, Exeggcute, armadillo
