Victorina Wolff, Magmar, gnu
Nettie Botsford, Onix, serval
Ms. Jewel Lowe, Meowth, rhinoceros
Jonell Kiehn, Seaking, hippopotamus
Nanci Weissnat, Marowak, camel
Terrell Hartmann, Graveler, oyster
Roberto Conn, Charmeleon, armadillo
Alline Konopelski, Clefairy, wasp
Evalyn Rodriguez, Fearow, wolf
Lesley Hilpert IV, Diglett, louse
Chris Ratke, Hitmonchan, grasshopper
Felipe Lehner, Rhydon, wasp
Wm Crooks, Raichu, snake
Mrs. Jeanna Botsford, Abra, dolphin
Gerardo Towne, Slowpoke, hare
Madalene Koss, Dragonite, otter
Jeffery Dietrich, Ninetales, cat
Rudolf Schultz, Parasect, alpaca
Andria Conroy, Ekans, beetle
Warner Toy, Doduo, sheep
Logan Littel, Clefairy, hornet
Shannon Reichel DVM, Tentacool, woodchuck
Miss Pa Herman, Scyther, gnat
Mrs. Earnest Reilly, Drowzee, serval
Kareem Gislason, Nidoking, turtle 
Noel Greenholt, Farfetch'd, cricket
Towanda Marquardt, Doduo, butterfly
Dr. Alden Monahan, Tentacool, sea lion
Eufemia Gerhold, Muk, minnow
Pamela Conroy, Flareon, marten
Mrs. Dewey Dibbert, Venomoth, armadillo
Tyree Schuppe MD, Horsea, lion
Guy Mosciski, Slowbro, mammoth
Jesse Reichert, Meowth, koala
Stephany Paucek, Poliwrath, hare
Gretchen DuBuque III, Pinsir, rabbit
Chanda Toy I, Omastar, goat
Jordan Reichel, Charmeleon, raccoon
Somer Rolfson, Kakuna, ant
Gerald Rath, Jynx, duck
Maximo Miller, Diglett, snail
Jewel Weimann, Victreebel, armadillo
Ms. Chan Anderson, Gastly, mallard
Sherman McDermott, Farfetch'd, sheep
Jerrod Stark, Cloyster, chinchilla
Ms. Elma Hermann, Pidgey, hyena
Tajuana Bartell, Gyarados, frog
Efrain Cremin, Raichu, weasel
Herman Blick, Venonat, salmon
Forest Wilkinson, Squirtle, grasshopper
