Miss Michael Cremin, Omanyte, macaw
Liza O'Kon, Gastly, turtle 
Gene Abernathy Sr., Poliwhirl, eagle
Jose Reynolds I, Haunter, reindeer
Kirstin Glover, Butterfree, reindeer
Eloy Langosh, Arcanine, alpaca
Nanette Lebsack, Horsea, pig
Darrin Bergstrom, Tentacool, worm
Miss Lucina Schneider, Articuno, bee
Shanita Adams III, Cubone, porpoise
Emerson Kozey, Porygon, alpaca
Faustina Kunze, Psyduck, rabbit
Monte Murphy DVM, Voltorb, sea lion
Graig Ziemann, Oddish, shark
Garret O'Connell, Aerodactyl, porcupine
Margaret Pagac, Meowth, pug
Rutha Haag, Raticate, weasel
Shana Senger, Charmander, sea lion
Miss Giuseppe Bartell, Hitmonlee, rhinoceros
Miss Nakisha Gerhold, Magneton, clam
Asa Bergnaum PhD, Charmander, hedgehog
Allie Nicolas, Geodude, gnat
Samual Flatley, Scyther, oyster
Sean Prosacco, Golem, fish
Akilah Corkery, Kabutops, duck
Micah Lang, Pidgeotto, manatee
Lawrence Greenfelder, Nidoran, wolf
Jeffrey Mohr, Ponyta, fish
Alfonso Berge PhD, Dratini, baboon
Renaldo Gulgowski, Hitmonlee, sheep
Denis Stamm, Caterpie, snake
Mrs. Serina Jaskolski, Exeggcute, chinchilla
Shane Crooks, Mr. Mime, eel
Ozzie Bogan, Marowak, ox
Danny Heaney, Primeape, louse
Loyd Monahan, Seel, pig
Elvis Grimes, Primeape, fly
Myrle Hodkiewicz, Bulbasaur, macaw
Kym Ryan, Haunter, wallaby
Rich Will Jr., Venonat, crow
Sherron Mosciski, Flareon, worm
Jonas Schinner Jr., Flareon, trout
Mrs. Gail Beer, Porygon, goat
Clayton Schmeler PhD, Golduck, bear
Corazon Frami, Dugtrio, mosquito
Karie Windler, Chansey, ferret
Terrance Hamill, Nidoran, hyena
Rodrick Dicki, Metapod, bear
Toya Pollich, Arcanine, goldfish
Miss Michel Gutkowski, Lapras, oyster
