Ramon Rowe, Mewtwo, sardine
Dr. Len Dibbert, Haunter, fly
Burt Kohler III, Geodude, fly
Young Prohaska DVM, Cubone, gorilla
Erick Johnston, Ekans, camel
Buena Hoppe, Diglett, raven
Tracey Schneider V, Jynx, donkey
Felice Nolan, Arcanine, macaw
Rhea Blanda Jr., Diglett, worm
Trevor Bosco, Nidoking, goldfish
Sarah Schroeder, Beedrill, mule
Reggie Walsh, Pidgeotto, koala
Wm Witting, Golem, herring
Oren Kunde III, Exeggutor, butterfly
Wallace Kassulke, Vaporeon, baboon
Maddie Hackett, Parasect, ant
Tilda Cassin, Porygon, sea lion
Soon Corwin, Paras, koala
Akilah Waters, Rhydon, gnat
Lucius Huel, Pinsir, ox
Jewel Tromp, Arcanine, buffalo
Reggie Kutch, Nidoran, sheep
Vannessa Vandervort, Shellder, clam
Federico Rosenbaum, Parasect, chinchilla
Mrs. Boyd Conn, Seadra, yak
Miss Maira Lemke, Cubone, koala
Myles Miller, Kingler, clam
Paris Lebsack, Slowpoke, otter
Erick Satterfield, Bellsprout, deer
Mrs. Bethel Hackett, Tentacool, ape
Sharyl Olson, Articuno, crab
Lucius Jast, Beedrill, rhinoceros
Felipe Gorczany, Primeape, seal
Alexis Leannon, Sandshrew, gorilla
Numbers Fay, Weezing, reindeer
Antonietta Abshire DDS, Oddish, jellyfish
Lara Bahringer, Doduo, beetle
Elwood Zemlak, Poliwrath, leopard
Jerrold Schulist, Ditto, toad
Dr. Kerry Stark, Ditto, fly
Jeromy Moore, Metapod, grasshopper
Meg Collins, Hitmonchan, porcupine
Donnell Keebler, Haunter, jackal
Leon Kertzmann, Farfetch'd, gerbil
Odelia Lowe, Bulbasaur, mink
Shirly Dibbert, Mankey, cricket
Hershel Hoppe PhD, Dragonair, fish
Roseanne Koss, Lickitung, fly
Cristopher Heidenreich, Arbok, rhinoceros
Clelia Huel, Muk, rhinoceros
