Miss Naoma Zulauf, Jynx, otter
Mrs. Brinda Beatty, Hitmonchan, moose
Wilfredo Pollich, Zubat, snake
Gussie Pacocha, Zapdos, horse
Merrill Windler DDS, Kingler, gorilla
Elisha Blanda, Jigglypuff, crow
Thanh Paucek, Paras, crocodile
Avery Kuvalis I, Koffing, tiger
Brady Nienow, Machop, crab
Mrs. Shaunta Olson, Grimer, buffalo
Gaylord Durgan, Mankey, goose
Dane Hirthe, Kabuto, pig
Angeles Skiles, Blastoise, donkey
Max Volkman, Charmeleon, sheep
Loren Schneider, Poliwrath, wallaby
Reinaldo Herzog, Squirtle, grasshopper
Junita Smitham, Exeggutor, sardine
Alfredo Moore, Bulbasaur, koala
Denisse Prosacco, Venusaur, snail
Vena Wolf, Grimer, muskrat
Merrill Becker, Lapras, rat
Kraig Mueller MD, Porygon, buffalo
Leana Mills, Poliwhirl, rabbit
Jonah Waelchi, Beedrill, koala
Tad Hane, Jigglypuff, prairie dog
Alita Schiller, Kabutops, impala
Andres Ondricka, Gloom, oyster
Oralee Streich, Psyduck, locust
Carie Huel DDS, Wartortle, locust
Jan Turcotte, Zubat, mule
Nolan Hessel, Jolteon, koala
Ms. Delphine Jones, Zapdos, herring
Shela Ondricka, Mewtwo, bee
Dr. Lincoln Wintheiser, Clefable, gorilla
Charline Marquardt, Weedle, toad
Ms. Creola Homenick, Moltres, termite
Jefferson Reichert, Charmeleon, spider
Mr. Laurence Pacocha, Pidgeot, tortoise
Randell Dare, Lickitung, worm
Mickie Emard, Omanyte, antelope
Benito Donnelly V, Oddish, antelope
Vannesa Blanda III, Goldeen, minnow
Miss Melonie Effertz, Omastar, leopard
Roland Schumm DDS, Squirtle, gorilla
Gwenn Maggio, Magneton, weasel
Mr. Angelo Rohan, Raticate, goldfish
Zackary Schuster, Persian, monkey
Cathi Homenick, Drowzee, skunk
Coy Marquardt IV, Snorlax, jackal
Irvin Powlowski, Ninetales, muskrat
