Ariel Lesch, Pinsir, duck
Mrs. Willis Lubowitz, Charmander, hornet
Xavier Rohan, Horsea, rhinoceros
Rich Lakin, Meowth, wolf
Brooks McKenzie, Articuno, baboon
Haywood Reichert, Drowzee, marten
Dr. Krissy Bednar, Lickitung, mule
Kyle Torphy, Oddish, chimpanzee
Antonia Reichert DVM, Raichu, gnat
Kitty Hand, Ivysaur, herring
Stevie Pfeffer DVM, Shellder, ox
Delsie Morissette, Growlithe, camel
Doloris Grant, Gloom, alligator
Geraldine Cole, Goldeen, jellyfish
Tosha Leuschke, Gloom, frog
Miss Ardis D'Amore, Ninetales, beaver
Nettie Weissnat, Nidorino, camel
Javier Schneider II, Nidorino, pug
Leland Prohaska IV, Rapidash, wallaby
Sharice Kunde, Bulbasaur, crow
Marc Koch, Gloom, hamster
Kacie Hickle, Rattata, walrus
Jillian Stark, Magmar, elk
Moses Pfeffer, Farfetch'd, serval
Ross Collins, Tentacruel, impala
Carmelita Quitzon, Rhyhorn, elk
Sha Bogan, Primeape, gnu
Latoria Ziemann, Fearow, locust
Mr. Avery Jenkins, Beedrill, squirrel
Deandre Beahan IV, Tangela, giraffe
Gwen Schaefer Jr., Golbat, minnow
Augustine Koch, Ekans, bat
Lon Borer, Primeape, eagle
Loralee Rath, Electrode, trout
Silvana Cummings V, Slowbro, herring
Dr. Shante Jaskolski, Charmander, platypus
Jamal Cassin, Machop, pig
Eula Conn, Bulbasaur, woodchuck
Olin Legros, Abra, fly
Marcel Schmeler, Articuno, hippopotamus
Maira Dach, Dewgong, pig
Maynard Grimes, Horsea, hound
Leia Hackett DVM, Hitmonchan, eel
Ms. Eugenio Pouros, Goldeen, otter
Brady Braun, Magnemite, baboon
Marylouise Huel, Hypno, giraffe
Lyman Von, Rhyhorn, turtle 
Creola Schmeler, Meowth, muskrat
Kirby Wiegand, Butterfree, sardine
Junie Lindgren III, Bellsprout, platypus
